pybullet build time: Jun 11 2026 16:34:32
Setting up Phase 2 environment (resuming from orientation-first model)...
argv[0]=
Environment OK

Loading orientation-first weights from models/orientation_first_model ...
Training 200000 timesteps on the full position+orientation task...

Step  171393/200000 | Ep   590 | Reward   -63.54 | Dist 0.2905m | Angle 2.983rad | Successes 0
Step  174393/200000 | Ep   600 | Reward   -88.16 | Dist 0.1893m | Angle 1.827rad | Successes 0
Step  177227/200000 | Ep   610 | Reward   -53.90 | Dist 0.1873m | Angle 2.929rad | Successes 0
Step  179931/200000 | Ep   620 | Reward   -57.19 | Dist 0.1452m | Angle 2.478rad | Successes 0
Step  182463/200000 | Ep   630 | Reward   -56.07 | Dist 0.2002m | Angle 2.597rad | Successes 0
Step  185463/200000 | Ep   640 | Reward   -75.14 | Dist 0.1091m | Angle 2.905rad | Successes 0
Step  188218/200000 | Ep   650 | Reward   -64.50 | Dist 0.0834m | Angle 2.977rad | Successes 0
Step  191218/200000 | Ep   660 | Reward   -85.67 | Dist 0.2457m | Angle 2.695rad | Successes 0
Step  194218/200000 | Ep   670 | Reward   -85.42 | Dist 0.1623m | Angle 2.973rad | Successes 0
Step  197155/200000 | Ep   680 | Reward   -58.92 | Dist 0.1800m | Angle 2.527rad | Successes 0
Step  199860/200000 | Ep   690 | Reward   -68.75 | Dist 0.2237m | Angle 2.768rad | Successes 0

Phase 2 done: 0 successes / 690 episodes (0.0%)
Model saved to models/phase2_from_orientation_first_model
